id,成交日期,成交年月_民國,成交年月_西元,樓層,總樓層,單價_萬每坪_不含車位,原始單價_萬每坪_含車位,房屋總價_萬_不含車位,車位總價_萬,成交總價_萬_含車位,房屋坪數_坪_不含車位,車位坪數_坪,總坪數_坪_含車位,車位數,車位類型,房型,特殊交易,特殊交易說明,樓層標籤,地址,建案名稱,來源網址
6206259,2023-10-31,112-10,2023-10,18,23,48.8,44.5,3348,380,3728,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6206260,2023-10-29,112-10,2023-10,15,23,48.2,43.8,3310,360,3670,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6473965,2023-09-05,112-09,2023-09,1,23,69.0,65.3,5842,180,6022,84.7,7.5,92.2,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6124155,2023-08-22,112-08,2023-08,11,23,47.1,43.4,3232,400,3632,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6108026,2023-08-13,112-08,2023-08,9,23,46.9,43.2,3218,400,3618,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6108027,2023-08-12,112-08,2023-08,8,23,46.9,42.8,3220,360,3580,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6023502,2023-06-15,112-06,2023-06,10,23,47.2,44.0,3555,420,3975,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區力行路與正光路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6011637,2023-06-10,112-06,2023-06,7,23,46.5,42.7,3190,380,3570,68.6,15.1,83.7,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5996936,2023-05-21,112-05,2023-05,22,23,49.8,47.4,3750,180,3930,75.3,7.5,82.8,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5970118,2023-05-09,112-05,2023-05,23,23,47.7,44.2,3170,430,3600,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6004455,2023-04-26,112-04,2023-04,22,23,48.9,45.1,3357,420,3777,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區力行路與正光路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5955222,2023-04-22,112-04,2023-04,23,23,47.1,43.6,3129,420,3549,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區力行路與正光路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5941472,2023-04-20,112-04,2023-04,16,23,47.7,43.4,3270,360,3630,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區力行路與正光路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5819600,2023-01-09,112-01,2023-01,1,22,70.0,63.0,5300,420,5720,75.7,15.1,90.8,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5819601,2023-01-09,112-01,2023-01,1,22,63.9,57.3,4279,420,4699,66.9,15.1,82.0,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5826384,2022-12-15,111-12,2022-12,2,22,47.8,45.6,3172,200,3372,66.4,7.5,73.9,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5755435,2022-11-01,111-11,2022-11,15,22,48.0,44.2,3615,380,3995,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5743604,2022-10-31,111-10,2022-10,23,23,50.6,46.4,3472,410,3882,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5743603,2022-10-25,111-10,2022-10,21,22,50.2,48.3,3778,220,3998,75.3,7.5,82.8,1,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5743618,2022-10-25,111-10,2022-10,1,22,70.0,64.0,5928,460,6388,84.7,15.1,99.7,2,平面車位,0房0廳,是,特殊交易,低樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5733451,2022-10-14,111-10,2022-10,10,22,46.5,42.9,3192,400,3592,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5719557,2022-10-09,111-10,2022-10,12,22,47.4,42.9,3253,340,3593,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5719389,2022-10-01,111-10,2022-10,18,22,45.5,42.0,3023,400,3423,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708766,2022-09-30,111-09,2022-09,1,22,69.7,64.6,3790,210,4000,54.4,7.5,62.0,1,平面車位,0房0廳,是,特殊交易,低樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708767,2022-09-30,111-09,2022-09,9,22,46.5,44.7,3503,200,3703,75.3,7.5,82.8,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5762358,2022-09-27,111-09,2022-09,1,22,66.7,58.9,3819,440,4259,57.3,15.1,72.3,2,平面車位,0房0廳,是,交易總價含下列非屬預售屋價格之費用:裝潢費；,低樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708765,2022-09-27,111-09,2022-09,1,22,66.7,58.9,3819,440,4259,57.3,15.1,72.3,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口S2-1F號,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
